Epoch: [0][0/782]	 lr:0.10000	Time 6.091 (6.091)	Loss 9.7599 (9.7599)	Prec@1 0.000 (0.000)	
Epoch: [0][10/782]	 lr:0.10000	Time 0.382 (0.865)	Loss 2.9922 (5.1318)	Prec@1 6.250 (7.386)	
Epoch: [0][20/782]	 lr:0.10000	Time 0.377 (0.633)	Loss 2.2760 (3.8882)	Prec@1 20.312 (9.896)	
Epoch: [0][30/782]	 lr:0.10000	Time 0.378 (0.551)	Loss 2.6671 (3.4378)	Prec@1 7.812 (10.383)	
Epoch: [0][40/782]	 lr:0.10000	Time 0.378 (0.509)	Loss 2.2211 (3.1678)	Prec@1 7.812 (10.747)	
Epoch: [0][50/782]	 lr:0.10000	Time 0.384 (0.483)	Loss 2.1320 (2.9962)	Prec@1 9.375 (10.784)	
Epoch: [0][60/782]	 lr:0.10000	Time 0.380 (0.466)	Loss 2.1693 (2.8582)	Prec@1 12.500 (11.117)	
Epoch: [0][70/782]	 lr:0.10000	Time 0.375 (0.454)	Loss 2.1383 (2.7727)	Prec@1 21.875 (11.378)	
Epoch: [0][80/782]	 lr:0.10000	Time 0.381 (0.445)	Loss 2.1299 (2.6852)	Prec@1 6.250 (11.246)	
Epoch: [0][90/782]	 lr:0.10000	Time 0.380 (0.438)	Loss 1.9748 (2.6198)	Prec@1 23.438 (11.367)	
Epoch: [0][100/782]	 lr:0.10000	Time 0.382 (0.432)	Loss 2.0787 (2.5588)	Prec@1 12.500 (12.005)	
Epoch: [0][110/782]	 lr:0.10000	Time 0.383 (0.427)	Loss 1.8034 (2.5128)	Prec@1 28.125 (12.373)	
Epoch: [0][120/782]	 lr:0.10000	Time 0.382 (0.424)	Loss 2.2537 (2.4750)	Prec@1 10.938 (12.668)	
Epoch: [0][130/782]	 lr:0.10000	Time 0.382 (0.421)	Loss 1.9440 (2.4371)	Prec@1 20.312 (12.953)	
Epoch: [0][140/782]	 lr:0.10000	Time 0.384 (0.418)	Loss 1.9545 (2.4066)	Prec@1 12.500 (13.209)	
Epoch: [0][150/782]	 lr:0.10000	Time 0.385 (0.416)	Loss 1.9241 (2.3808)	Prec@1 12.500 (13.224)	
Epoch: [0][160/782]	 lr:0.10000	Time 0.382 (0.414)	Loss 1.8067 (2.3560)	Prec@1 18.750 (13.519)	
Epoch: [0][170/782]	 lr:0.10000	Time 0.384 (0.412)	Loss 1.8211 (2.3298)	Prec@1 21.875 (13.761)	
Epoch: [0][180/782]	 lr:0.10000	Time 0.389 (0.410)	Loss 1.8017 (2.3031)	Prec@1 20.312 (14.045)	
Epoch: [0][190/782]	 lr:0.10000	Time 0.383 (0.409)	Loss 1.8410 (2.2783)	Prec@1 14.062 (14.210)	
Epoch: [0][200/782]	 lr:0.10000	Time 0.384 (0.408)	Loss 1.8532 (2.2601)	Prec@1 17.188 (14.311)	
Epoch: [0][210/782]	 lr:0.10000	Time 0.379 (0.407)	Loss 1.9321 (2.2439)	Prec@1 20.312 (14.492)	
Epoch: [0][220/782]	 lr:0.10000	Time 0.383 (0.406)	Loss 1.6938 (2.2256)	Prec@1 23.438 (14.678)	
Epoch: [0][230/782]	 lr:0.10000	Time 0.385 (0.405)	Loss 1.9634 (2.2107)	Prec@1 14.062 (14.881)	
Epoch: [0][240/782]	 lr:0.10000	Time 0.387 (0.404)	Loss 1.7621 (2.1969)	Prec@1 15.625 (15.009)	
Epoch: [0][250/782]	 lr:0.10000	Time 0.383 (0.403)	Loss 1.6856 (2.1818)	Prec@1 12.500 (15.027)	
Epoch: [0][260/782]	 lr:0.10000	Time 0.383 (0.403)	Loss 1.6555 (2.1639)	Prec@1 15.625 (15.134)	
Epoch: [0][270/782]	 lr:0.10000	Time 0.383 (0.402)	Loss 1.8063 (2.1489)	Prec@1 20.312 (15.308)	
Epoch: [0][280/782]	 lr:0.10000	Time 0.393 (0.401)	Loss 1.5872 (2.1331)	Prec@1 18.750 (15.492)	
Epoch: [0][290/782]	 lr:0.10000	Time 0.385 (0.401)	Loss 1.7504 (2.1212)	Prec@1 12.500 (15.582)	
Epoch: [0][300/782]	 lr:0.10000	Time 0.385 (0.400)	Loss 1.6566 (2.1085)	Prec@1 17.188 (15.615)	
