Epoch: [0][0/1563]	 lr:0.01000	Time 0.391 (0.391)	Loss 5.4895 (5.4895)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1563]	 lr:0.01000	Time 0.026 (0.068)	Loss 4.9909 (5.3475)	Prec@1 6.250 (0.852)	
Epoch: [0][20/1563]	 lr:0.01000	Time 0.023 (0.047)	Loss 2.5493 (4.5907)	Prec@1 15.625 (7.292)	
Epoch: [0][30/1563]	 lr:0.01000	Time 0.023 (0.041)	Loss 1.9221 (3.8204)	Prec@1 34.375 (9.879)	
Epoch: [0][40/1563]	 lr:0.01000	Time 0.022 (0.037)	Loss 1.9794 (3.3786)	Prec@1 25.000 (11.738)	
Epoch: [0][50/1563]	 lr:0.01000	Time 0.022 (0.035)	Loss 1.9755 (3.1068)	Prec@1 25.000 (12.194)	
Epoch: [0][60/1563]	 lr:0.01000	Time 0.024 (0.034)	Loss 1.8338 (2.9040)	Prec@1 15.625 (13.371)	
Epoch: [0][70/1563]	 lr:0.01000	Time 0.029 (0.033)	Loss 1.8124 (2.7642)	Prec@1 21.875 (13.908)	
Epoch: [0][80/1563]	 lr:0.01000	Time 0.030 (0.032)	Loss 1.5842 (2.6464)	Prec@1 28.125 (14.545)	
Epoch: [0][90/1563]	 lr:0.01000	Time 0.033 (0.032)	Loss 2.0546 (2.5502)	Prec@1 15.625 (15.762)	
Epoch: [0][100/1563]	 lr:0.01000	Time 0.025 (0.031)	Loss 1.7805 (2.4799)	Prec@1 28.125 (16.213)	
Epoch: [0][110/1563]	 lr:0.01000	Time 0.026 (0.031)	Loss 1.4674 (2.4057)	Prec@1 31.250 (16.836)	
Epoch: [0][120/1563]	 lr:0.01000	Time 0.032 (0.030)	Loss 1.9688 (2.3363)	Prec@1 25.000 (17.769)	
Epoch: [0][130/1563]	 lr:0.01000	Time 0.024 (0.030)	Loss 1.5522 (2.2704)	Prec@1 34.375 (18.822)	
Epoch: [0][140/1563]	 lr:0.01000	Time 0.023 (0.030)	Loss 1.6758 (2.2301)	Prec@1 25.000 (18.949)	
Epoch: [0][150/1563]	 lr:0.01000	Time 0.029 (0.030)	Loss 1.4537 (2.1824)	Prec@1 21.875 (19.723)	
Epoch: [0][160/1563]	 lr:0.01000	Time 0.023 (0.029)	Loss 1.5759 (2.1352)	Prec@1 15.625 (20.380)	
Epoch: [0][170/1563]	 lr:0.01000	Time 0.030 (0.029)	Loss 1.6188 (2.0966)	Prec@1 28.125 (20.742)	
Epoch: [0][180/1563]	 lr:0.01000	Time 0.028 (0.029)	Loss 1.4026 (2.0574)	Prec@1 31.250 (21.305)	
Epoch: [0][190/1563]	 lr:0.01000	Time 0.030 (0.029)	Loss 1.3700 (2.0291)	Prec@1 21.875 (21.630)	
Epoch: [0][200/1563]	 lr:0.01000	Time 0.026 (0.029)	Loss 1.2250 (1.9964)	Prec@1 28.125 (22.077)	
Epoch: [0][210/1563]	 lr:0.01000	Time 0.022 (0.029)	Loss 1.5675 (1.9689)	Prec@1 21.875 (22.423)	
Epoch: [0][220/1563]	 lr:0.01000	Time 0.023 (0.029)	Loss 1.6171 (1.9450)	Prec@1 25.000 (22.752)	
Epoch: [0][230/1563]	 lr:0.01000	Time 0.028 (0.029)	Loss 1.2318 (1.9190)	Prec@1 18.750 (23.147)	
Epoch: [0][240/1563]	 lr:0.01000	Time 0.027 (0.029)	Loss 1.7785 (1.9022)	Prec@1 28.125 (23.418)	
Epoch: [0][250/1563]	 lr:0.01000	Time 0.026 (0.029)	Loss 1.4457 (1.8854)	Prec@1 31.250 (23.606)	
Epoch: [0][260/1563]	 lr:0.01000	Time 0.022 (0.028)	Loss 1.4160 (1.8647)	Prec@1 37.500 (23.898)	
Epoch: [0][270/1563]	 lr:0.01000	Time 0.026 (0.028)	Loss 1.2196 (1.8450)	Prec@1 21.875 (24.193)	
Epoch: [0][280/1563]	 lr:0.01000	Time 0.028 (0.028)	Loss 1.1011 (1.8247)	Prec@1 56.250 (24.677)	
Epoch: [0][290/1563]	 lr:0.01000	Time 0.028 (0.028)	Loss 1.3799 (1.8087)	Prec@1 40.625 (25.000)	
Epoch: [0][300/1563]	 lr:0.01000	Time 0.019 (0.028)	Loss 1.4937 (1.7953)	Prec@1 21.875 (25.208)	
Epoch: [0][310/1563]	 lr:0.01000	Time 0.027 (0.028)	Loss 1.4276 (1.7791)	Prec@1 34.375 (25.432)	
Epoch: [0][320/1563]	 lr:0.01000	Time 0.027 (0.028)	Loss 1.5102 (1.7665)	Prec@1 40.625 (25.691)	
Epoch: [0][330/1563]	 lr:0.01000	Time 0.024 (0.028)	Loss 1.3252 (1.7542)	Prec@1 31.250 (25.812)	
Epoch: [0][340/1563]	 lr:0.01000	Time 0.024 (0.028)	Loss 1.0680 (1.7392)	Prec@1 37.500 (26.182)	
