Epoch: [0][0/1563]	 lr:0.01000	Time 0.348 (0.348)	Loss 5.5294 (5.5294)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1563]	 lr:0.01000	Time 0.030 (0.065)	Loss 5.1847 (5.4141)	Prec@1 12.500 (3.693)	
Epoch: [0][20/1563]	 lr:0.01000	Time 0.030 (0.048)	Loss 4.3304 (5.1468)	Prec@1 18.750 (7.887)	
Epoch: [0][30/1563]	 lr:0.01000	Time 0.030 (0.043)	Loss 2.9035 (4.6065)	Prec@1 18.750 (9.073)	
Epoch: [0][40/1563]	 lr:0.01000	Time 0.033 (0.039)	Loss 2.1604 (4.0201)	Prec@1 18.750 (11.052)	
Epoch: [0][50/1563]	 lr:0.01000	Time 0.031 (0.038)	Loss 1.8617 (3.6359)	Prec@1 15.625 (12.132)	
Epoch: [0][60/1563]	 lr:0.01000	Time 0.021 (0.036)	Loss 2.5032 (3.3950)	Prec@1 18.750 (12.807)	
Epoch: [0][70/1563]	 lr:0.01000	Time 0.034 (0.035)	Loss 1.7969 (3.1977)	Prec@1 28.125 (13.688)	
Epoch: [0][80/1563]	 lr:0.01000	Time 0.022 (0.034)	Loss 1.7624 (3.0284)	Prec@1 31.250 (14.468)	
Epoch: [0][90/1563]	 lr:0.01000	Time 0.028 (0.034)	Loss 1.6561 (2.8970)	Prec@1 21.875 (15.110)	
Epoch: [0][100/1563]	 lr:0.01000	Time 0.030 (0.034)	Loss 1.6121 (2.7874)	Prec@1 25.000 (15.439)	
Epoch: [0][110/1563]	 lr:0.01000	Time 0.032 (0.033)	Loss 1.6402 (2.6874)	Prec@1 18.750 (16.047)	
Epoch: [0][120/1563]	 lr:0.01000	Time 0.035 (0.033)	Loss 1.4413 (2.5967)	Prec@1 25.000 (16.890)	
Epoch: [0][130/1563]	 lr:0.01000	Time 0.024 (0.032)	Loss 1.6771 (2.5255)	Prec@1 28.125 (17.319)	
Epoch: [0][140/1563]	 lr:0.01000	Time 0.038 (0.032)	Loss 1.5820 (2.4583)	Prec@1 25.000 (17.863)	
Epoch: [0][150/1563]	 lr:0.01000	Time 0.024 (0.032)	Loss 1.5815 (2.3982)	Prec@1 31.250 (18.605)	
Epoch: [0][160/1563]	 lr:0.01000	Time 0.026 (0.032)	Loss 1.7565 (2.3469)	Prec@1 18.750 (19.041)	
Epoch: [0][170/1563]	 lr:0.01000	Time 0.031 (0.032)	Loss 1.5441 (2.3006)	Prec@1 18.750 (19.335)	
Epoch: [0][180/1563]	 lr:0.01000	Time 0.033 (0.032)	Loss 1.3845 (2.2526)	Prec@1 28.125 (19.855)	
Epoch: [0][190/1563]	 lr:0.01000	Time 0.031 (0.032)	Loss 1.4485 (2.2135)	Prec@1 31.250 (20.157)	
Epoch: [0][200/1563]	 lr:0.01000	Time 0.029 (0.032)	Loss 1.3081 (2.1787)	Prec@1 25.000 (20.507)	
Epoch: [0][210/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.8004 (2.1469)	Prec@1 18.750 (20.823)	
Epoch: [0][220/1563]	 lr:0.01000	Time 0.021 (0.031)	Loss 1.4755 (2.1171)	Prec@1 31.250 (21.041)	
Epoch: [0][230/1563]	 lr:0.01000	Time 0.039 (0.031)	Loss 1.4567 (2.0926)	Prec@1 31.250 (21.144)	
Epoch: [0][240/1563]	 lr:0.01000	Time 0.039 (0.031)	Loss 1.3040 (2.0620)	Prec@1 25.000 (21.447)	
Epoch: [0][250/1563]	 lr:0.01000	Time 0.039 (0.032)	Loss 1.1752 (2.0361)	Prec@1 40.625 (21.838)	
Epoch: [0][260/1563]	 lr:0.01000	Time 0.039 (0.032)	Loss 1.4157 (2.0110)	Prec@1 31.250 (22.198)	
Epoch: [0][270/1563]	 lr:0.01000	Time 0.019 (0.032)	Loss 1.4684 (1.9857)	Prec@1 21.875 (22.601)	
Epoch: [0][280/1563]	 lr:0.01000	Time 0.027 (0.032)	Loss 1.0905 (1.9633)	Prec@1 46.875 (22.965)	
Epoch: [0][290/1563]	 lr:0.01000	Time 0.032 (0.032)	Loss 1.4099 (1.9447)	Prec@1 34.375 (23.185)	
Epoch: [0][300/1563]	 lr:0.01000	Time 0.027 (0.032)	Loss 1.3386 (1.9272)	Prec@1 34.375 (23.536)	
Epoch: [0][310/1563]	 lr:0.01000	Time 0.032 (0.032)	Loss 1.4582 (1.9078)	Prec@1 34.375 (23.875)	
Epoch: [0][320/1563]	 lr:0.01000	Time 0.031 (0.032)	Loss 1.3093 (1.8900)	Prec@1 21.875 (24.104)	
Epoch: [0][330/1563]	 lr:0.01000	Time 0.035 (0.032)	Loss 1.2859 (1.8724)	Prec@1 34.375 (24.330)	
Epoch: [0][340/1563]	 lr:0.01000	Time 0.030 (0.031)	Loss 1.2962 (1.8579)	Prec@1 34.375 (24.450)	
Epoch: [0][350/1563]	 lr:0.01000	Time 0.033 (0.031)	Loss 1.4762 (1.8416)	Prec@1 21.875 (24.662)	
Epoch: [0][360/1563]	 lr:0.01000	Time 0.027 (0.031)	Loss 1.4968 (1.8266)	Prec@1 31.250 (25.026)	
Epoch: [0][370/1563]	 lr:0.01000	Time 0.029 (0.031)	Loss 1.2988 (1.8134)	Prec@1 37.500 (25.253)	
Epoch: [0][380/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.2902 (1.8008)	Prec@1 28.125 (25.468)	
Epoch: [0][390/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.0614 (1.7895)	Prec@1 40.625 (25.663)	
Epoch: [0][400/1563]	 lr:0.01000	Time 0.029 (0.031)	Loss 1.3696 (1.7757)	Prec@1 31.250 (25.904)	
Epoch: [0][410/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.5705 (1.7641)	Prec@1 34.375 (26.110)	
Epoch: [0][420/1563]	 lr:0.01000	Time 0.026 (0.031)	Loss 1.5628 (1.7547)	Prec@1 34.375 (26.358)	
Epoch: [0][430/1563]	 lr:0.01000	Time 0.029 (0.031)	Loss 1.0439 (1.7470)	Prec@1 40.625 (26.457)	
Epoch: [0][440/1563]	 lr:0.01000	Time 0.030 (0.031)	Loss 1.2982 (1.7366)	Prec@1 28.125 (26.658)	
Epoch: [0][450/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.2418 (1.7269)	Prec@1 31.250 (26.822)	
Epoch: [0][460/1563]	 lr:0.01000	Time 0.029 (0.031)	Loss 1.4571 (1.7195)	Prec@1 21.875 (26.878)	
Epoch: [0][470/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.0644 (1.7103)	Prec@1 34.375 (27.004)	
Epoch: [0][480/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.4978 (1.7013)	Prec@1 34.375 (27.183)	
Epoch: [0][490/1563]	 lr:0.01000	Time 0.031 (0.031)	Loss 1.3797 (1.6927)	Prec@1 37.500 (27.298)	
Epoch: [0][500/1563]	 lr:0.01000	Time 0.028 (0.031)	Loss 1.5655 (1.6856)	Prec@1 25.000 (27.395)	
Epoch: [0][510/1563]	 lr:0.01000	Time 0.032 (0.031)	Loss 1.4455 (1.6798)	Prec@1 21.875 (27.489)	
Epoch: [0][520/1563]	 lr:0.01000	Time 0.025 (0.031)	Loss 1.1377 (1.6715)	Prec@1 31.250 (27.633)	
